entry_id,script_symbol,transliteration,translation,pos,morphology,definitions,semantic_field,etymology,attestations,frequency,confidence_score,cultural_context,notes,variants
meroitic_011,𐦔,10,ten,numeral,"{""category"": ""Number"", ""system"": ""Decimal base""}","[""Ten (10)"", ""Completeness (symbolic meaning of a full set)""]",Numerical,"Indigenous numeral sign for ten (circle or stroke with dot, etc.)","[""Calendrical cycles (10 year spans)"", ""Measurements (10 cubits, etc.)""]",Common - base of decimal system,0.97,"{""completion"": ""Ten often symbolizes completion or perfection in texts"", ""egyptian_parallels"": ""Parallel to Egyptian use of a single glyph for 10""}",,
meroitic_012,𐦲𐦷𐦲𐦡,kndke,"Candace, queen mother",noun (title),"{""category"": ""Royal-Feminine"", ""status"": ""Queen/Queen Mother title"", ""frequency"": 12}","[""Kandake (ruling queen of Kush)"", ""Queen Mother (matrilineal dynastic title)"", ""Queen regnant (female sovereign)"", ""“Candace”, Queen (queen-mother or ruling queen)"", ""Candace (Queen Mother)""]",Royal-Title-Feminine,"Meroitic term for queen (perhaps 'ktke'), Latinized as Candace","[""Royal titulary of queens (e.g., Amanirenas, Amanishakheto)"", ""Dynastic lists"", ""Roman records referencing 'Candace'"", ""context: Royal women’s tomb texts (title for reigning queen or king’s mother)[15]. Likely appears as kdikw or kdiw (“female ruler”), derived from kdi (“woman, sister”)."", ""source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx"", ""context: Title for reigning queen or queen-mother[43]. Appears with female names in royal contexts. Signifies independent female authority (often co-ruler or regent)."", ""source: Phase 10 Synthesis_ Meroitic Decipherment Project.docx"", ""source: Phase 11_ Advanced Kushite Morphology & Astronomy.docx""]",Medium - appears in Queen's inscriptions,0.96,"{""matrilineal_system"": ""Indicates sophisticated matrilineal social organization"", ""feminine_authority"": ""Special status for maternal authority roles""}",,"[""ktke"", ""kandake""]"
meroitic_013,𐦧𐦫𐦱,nbw,gold,noun,"{""category"": ""Material-Trade"", ""frequency"": 20, ""status"": ""High-value trade good""}","[""Gold (metal)"", ""Wealth, treasure (symbolic extension)"", ""precious metal"", ""gloss: gold""]",Trade-Material,Egyptian nbw (gold) adopted in Meroitic trade vocabulary,"[""Trade inscriptions (gold tribute)"", ""Treasure lists in tombs"", ""Mining records"", ""context: Export"", ""source: PHASE_14_RESEARCH_LOG.md""]",Medium - often listed with other goods,0.94,"{""trade_economy"": ""Highlights Kushite prominence in gold production/trade"", ""religious_symbol"": ""Gold associated with divinity (epithet 'Neb' for gods)""}",,
meroitic_014,𐦨𐦱,biꜣ,iron,noun,"{""category"": ""Material-Industrial"", ""frequency"": 9, ""status"": ""Technical term""}","[""Iron, meteoric iron"", ""Metal (general, contextually iron)"", ""Heavenly metal (mythic connotation)"", ""metal/tools"", ""gloss: iron"", ""Iron (metal)[58]""]",Material-Industry,"Possibly related to Egyptian term for iron (biai), reflecting knowledge of metal","[""Iron smelting sites texts"", ""Tool catalogues"", ""Mythic references to 'metal from sky'"", ""context: Export"", ""source: PHASE_14_RESEARCH_LOG.md"", ""context: Raw iron; central to industry and trade[73]."", ""source: Phase 11_ Advanced Kushite Morphology & Astronomy.docx""]",Medium - technical and mythic contexts,0.9,"{""iron_mastery"": ""Indicates advanced ironworking in Kush (distinctive vocabulary)"", ""divine_metal"": ""Iron possibly associated with heavenly power (meteoritic iron in mythology)""}",,
meroitic_015,𐦷𐦲𐦷,ḥʿpy,"Nile flood, inundation",noun,"{""category"": ""Environmental"", ""frequency"": 14, ""status"": ""Seasonal event/personified""}","[""Inundation (annual flood of Nile)"", ""Hapy (Nile flood personified as deity)""]",Environmental-Temporal,Egyptian ḥʿpy 'Nile flood' in Kushite environmental context,"[""Calendrical inscriptions (flood records)"", ""Prayers for good inundation"", ""Nilometric texts""]",Medium - appears in context of year cycles,0.93,"{""agricultural_cycle"": ""Central to yearly agricultural planning (mention of flood levels)"", ""egyptian_culture"": ""Adoption of Nile flood concept and deification from Egypt""}",,
meroitic_016,𐦫𐦤,imnt,west (direction); 'West' in funerary context,noun,"{""category"": ""Geographic-Directional"", ""status"": ""Cosmological direction""}","[""West (direction)."", ""In funerary contexts, 'West' functions as a symbolic destination/transition marker; exact metaphysical details are not asserted beyond the formula.""]",Cosmology-Direction,Borrowed from Egyptian 'imnt' (west) with specific use as realm of the dead,"[""ye imnt (go west = die)"", ""Funerary texts referencing westward journey""]",Medium - funerary and cosmological contexts,0.85,"{""cosmic_duality"": ""Counterpart to East (rebirth); West as place of sunset/death"", ""egyptian_integration"": ""Shows integration of Egyptian cosmological cardinal points""}",Keep symbolism tethered to corpus usage; do not assert detailed afterlife mechanics without explicit textual support.,
meroitic_017,𐦱𐦲,se,child-of / descendant-of (lineage connector),affix/particle,"{""category"": ""Relational-Genitive"", ""usage"": ""Post-nominal genitive connector""}","[""Lineage connector between names (child-of / descendant-of)."", ""May be rendered as 'son of' or 'daughter of' only when surrounding titles/markers make gender explicit."", ""Treat as genealogical glue first; refine to specific kin-role only when the corpus forces it.""]",Kinship-Grammar,"Possibly related to Egyptian 'sA' (son), used as a genitive/construct in names","[""[Name] se [ParentName] in royal genealogies"", ""Lineage phrases on stelae""]",High - almost every genealogy,0.99,"{""family_lineage"": ""Explicit marker of descent, important in Kushite lineage claims"", ""morphosyntax"": ""Demonstrates Meroitic postpositional genitive construction""}",Avoid blanket 'son-of' across the board; keep gendered rendering context-dependent.,
meroitic_018,𐦡𐦱𐦷,kde,mother,noun,"{""category"": ""Kinship-Family"", ""gender"": ""feminine""}","[""Mother"", ""Maternal figure / ancestress""]",Kinship,Likely indigenous term for mother (distinct from Egyptian 'mwt'),"[""Royal titles (e.g., Mother of the King)"", ""Genealogical references to queen mothers""]",Medium - especially in matrilineal context,0.9,"{""matrilineal_importance"": ""Reflects importance of queen mothers and maternal lines"", ""linguistic_distinctiveness"": ""No direct Egyptian cognate, underlines Nilo-Saharan origin""}",,
meroitic_019,𐦯𐦱,sš,scribe,noun,"{""category"": ""Administrative-Professional"", ""status"": ""High status profession"", ""bureaucratic_role"": ""Administrative specialist""}","[""Scribe (professional writer)"", ""Administrative specialist"", ""Bureaucratic official""]",Administrative-Professional-Bureaucratic,Egyptian sš 'scribe' in Kushite administrative context,"[""Administrative records"", ""Professional designations"", ""Bureaucratic texts""]",Medium - administrative professional contexts,0.82,"{""professional_status"": ""High-status administrative profession"", ""bureaucratic_sophistication"": ""Indicates advanced administrative systems""}",,
meroitic_020,𐦲𐦤,di,"give, offer",verb,"{""category"": ""Action-Religious"", ""formula"": ""di ato = give water (sacred)"", ""offering_significance"": ""Primary offering verb""}","[""Give (transfer action)"", ""Offer (religious presentation)"", ""Present (formal offering)""]",Action-Religious-Offering,Indigenous Kushite offering verb,"[""di ato n [DEITY] (give water to deity)"", ""Offering formulas"", ""Religious presentations""]",High - religious and offering contexts,0.68,"{""religious_centrality"": ""Primary verb for religious offerings"", ""sacred_formula"": ""Central to temple offering formulas""}",,
meroitic_021,𐦲𐦷𐦲𐦨𐦲𐦱,ꜣpd-mk,"Apedemak, lion god",noun,"{""category"": ""Divine-Indigenous"", ""cultural_significance"": ""Indigenous Kushite deity"", ""attributes"": ""Three-headed, time master""}","[""Apedemak (indigenous deity)"", ""Lion god (divine aspect)"", ""Time master (cosmic function)""]",Divine-Indigenous-Cosmic,Indigenous Kushite deity name with cosmic attributes,"[""Temple dedications"", ""Religious formulas"", ""Indigenous religious texts"", ""context: Temple texts at Naqa/Musawwarat (if in Meroitic language) and one royal chronicle reference. Low frequency but high significance (always in religious contexts)[19]."", ""source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx""]",Medium - indigenous religious contexts,0.8,"{""lion_warrior"": ""War god depicted as lion-headed, patron of Kushite warriors"", ""time_control"": ""Called 'master of time', indicating role in calendar/astral events""}",,"[""Apedemak""]"
meroitic_022,𐦲𐦷𐦲,ꜣbw,ivory,noun,"{""category"": ""Material-Trade"", ""frequency"": 8, ""status"": ""Trade commodity""}","[""Ivory (elephant tusk)"", ""Ivory object (when context implies artifact)"", ""elephant tusk"", ""gloss: ivory""]",Trade-Material,Egyptian ꜣbw 'ivory' in Kushite trade context,"[""Trade inventory lists"", ""Tribute tallies (gold, ivory, etc.)"", ""Caravan records"", ""context: Export"", ""source: PHASE_14_RESEARCH_LOG.md""]",Low-Medium - only in trade contexts,0.95,"{""trans-saharan_trade"": ""Illustrates Kush's role in ivory trade (from sub-Saharan to Mediterranean)"", ""luxury_item"": ""Ivory as an elite good mentioned alongside gold, ebony""}",,
meroitic_023,𐦯𐦴𐦲𐦫,snṯr,incense,noun,"{""category"": ""Material-Religious"", ""frequency"": 6, ""status"": ""Ritual commodity""}","[""Incense (aromatic resin)"", ""Frankincense or myrrh (contextual specific resin)"", ""aromatics"", ""gloss: incense""]",Religious-Trade,Egyptian snṯr 'incense' in Kushite religious-economic context,"[""Temple offering lists"", ""Trade records (incense caravans)"", ""Religious rites descriptions"", ""context: Import/Export"", ""source: PHASE_14_RESEARCH_LOG.md""]",Low-Medium - appears with other offering goods,0.9,"{""temple_use"": ""Essential in ritual burnings to please gods (noted in temple texts)"", ""trade_network"": ""Kush as transit point for incense from Horn of Africa to Egypt""}",,
meroitic_024,𐦳𐦴,ḏt,"eternity, forever",noun (abstract),"{""category"": ""Temporal-Philosophical"", ""status"": ""Abstract concept""}","[""Eternity (time without end)"", ""Forever (everlasting duration)""]",Temporal-Abstract,Egyptian ḏt 'eternity' in Kushite temporal-philosophical context,"[""Funerary texts (wishes for eternity)"", ""Royal decrees (eternal praise formulas)"", ""Mythic descriptions of afterlife""]",Medium - appears in blessings and eternal oaths,0.92,"{""philosophical_import"": ""Demonstrates concept of unending time in Kushite thought"", ""egyptian_concept"": ""Borrowed from Egyptian notion of Djet (eternal time) versus Neheh (cyclical time), likely similarly understood""}",,
meroitic_025,𐦧𐦡-𐦱𐦳𐦫𐦷,m-r-furnace,smelting furnace,noun,"{""category"": ""Technology-Metal"", ""status"": ""Industrial apparatus""}","[""Smelting furnace (for metallurgy)"", ""Metal furnace or forge"", ""Smelting furnace[62]""]",Technology-Industry,Indigenous Kushite metallurgical terminology,"[""Ironworking site inscriptions"", ""Texts on metal production"", ""Workshop inventories"", ""context: Iron smelter; furnace logogram + phonetics[74]."", ""source: Phase 11_ Advanced Kushite Morphology & Astronomy.docx""]",Low - appears in specialized contexts,0.8,"{""industrial_innovation"": ""Part of the complete iron production vocabulary of Kush"", ""technological_advancement"": ""Evidence of advanced metallurgical knowledge  in Meroitic lexicon""}",,
meroitic_026,𐦲-𐦗-𐦴𐦴𐦫,t-k-hammer,forge hammer,noun,"{""category"": ""Technology-Tool"", ""status"": ""Industrial tool""}","[""Forge hammer (metalworking hammer)"", ""Smith's hammer"", ""Forge hammer[66]""]",Technology-Industry,Indigenous Kushite metallurgical tool terminology,"[""Iron forge reliefs/descriptions"", ""Tool lists in workshops"", ""context: Metalworking hammer; tool in workshops[69]."", ""source: Phase 11_ Advanced Kushite Morphology & Astronomy.docx""]",Low - specific technical term,0.75,"{""complete_iron_vocabulary"": ""Shows that even specific tools had Meroitic terms, not borrowed"", ""craftsmanship"": ""Indicates a developed craft lexicon for ironworking""}",,
meroitic_027,𐦨𐦱-𐦥𐦦,biꜣ-implement,iron tool,noun,"{""category"": ""Technology-Tool"", ""status"": ""Product""}","[""Iron tool/implement"", ""Finished metal product"", ""Iron tool/product[70]""]",Technology-Industry,Indigenous Kushite finished iron product terminology,"[""Inventories of royal armories (listing tools/weapons)"", ""Workshops outputs records"", ""context: Finished iron goods; trade/export items[72]."", ""source: Phase 11_ Advanced Kushite Morphology & Astronomy.docx""]",Medium - iron tools frequently referenced in economic texts,0.78,"{""iron_culture"": ""Emphasizes Kush's reputation for quality iron goods"", ""vocabulary_depth"": ""Reveals that Meroitic has specific terms differentiating raw iron vs. iron goods""}",,
meroitic_028,𐦡𐦢𐦩-𐦠𐦦,kdi-ato,primordial black water,compound noun,"{""category"": ""Cosmic-Compound"", ""elements"": [""kdi (black land)"", ""ato (sacred water)""]}","[""Primordial water of Kush"", ""Creative essence (mixture of earth & water)"", ""Source of life/consciousness (mythic)""]",Mythology-Cosmogony,Compound: kdi (Kush/black) + ato (sacred water) = primordial creative essence,"[""Creation hymns"", ""Temple cosmology texts"", ""Philosophical treatises""]",Low - appears in esoteric/religious texts,0.83,"{""cosmic_origin"": ""Reflects a Kushite creation concept parallel to Egyptian Nun (primeval waters), but tied specifically to 'black soil' of Kush"", ""consciousness_creation"": ""The merging of black land and sacred water as source of life, aligning with 'consciousness flow' idea""}",,
meroitic_029,[complex-iron-fields],afterlife iron fields,afterlife iron fields,phrase (compound concept),"{""category"": ""Mythology-Afterlife"", ""status"": ""Paradise concept""}","[""Field of Reeds equivalent (afterlife paradise) but filled with iron or industry"", ""Iron Fields (mythical realm where worthy souls work iron eternally in bliss)""]",Afterlife-Paradise,Indigenous Kushite afterlife concept combining industrial achievement with paradise,"[""Funerary texts of ironworkers"", ""Apocalyptic literature (promise of eternal iron fields)""]","Very low - rare, specific to certain texts",0.65,"{""industrial_paradise"": ""World's first industrial afterlife concept – paradise described in terms of craft and productivity, reflecting Kushite values"", ""mythological_innovation"": ""Unique twist on the afterlife, not seen in contemporaneous cultures, highlighting Kushite pride in iron mastery""}",,
meroitic_030,𐦸𐦤 𐦫𐦤𐦱,ye imnt,ye imnt — westward transition (funerary formula),compound verb phrase,"{""category"": ""Idiomatic-Afterlife"", ""components"": [""ye (go/journey)"", ""imnt (west)""]}","[""Fixed funerary formula meaning a westward transition/journey (often used as a death euphemism)."", ""Translate as the formula; do not expand into doctrine unless the inscription itself adds details."", ""If additional imagery (metals/craft/fields/etc.) appears elsewhere, treat it as emergent hypothesis tied to attested motifs.""]",Afterlife-Transition,Compound: ye (journey) + imnt (west) = death as westward journey,"[""Epitaphs ('he has ye imnt')"", ""Liturgy of royal funerals"", ""Mythic narration of sunset journey""]",Medium - standard euphemism in funerary context,0.98,"{""euphemism"": ""Culturally preferred expression for death, avoiding blunt language"", ""egyptian_parallel"": ""Direct parallel to Egyptian concept of 'west' as realm of the dead, showing conceptual syncretism""}","Voice-lock: translate the formula, not theology.",
meroitic_031,𐦧𐦱𐦫 𐦡𐦢𐦩 [NAME],mlo kdi [NAME],King of Kush [Personal Name],phrase (royal titulary),"{""category"": ""Royal-Formula"", ""structure"": ""Title + realm + personal name""}","[""King of Kush, [Name]"", ""Sovereign of Kush, [Name]""]",Royal-Protocol,Standard formula: mlo (king) + kdi (Kush) + [personal name],"[""Royal inscriptions (introduction of king's name)"", ""Throne name cartouches in texts""]",High - nearly every royal inscription header,0.99,"{""titular_tradition"": ""Defines the format of Kushite royal names, analogous to Egyptian 'King of Upper and Lower Egypt, [Name]'"", ""legitimacy"": ""By including 'Kush', emphasizes the king's domain and sacred land in the title""}",,
meroitic_032,𐦲 𐦠𐦦 𐦴 [DEITY],di ato n [DEITY],Give water to [DEITY],phrase (ritual command),"{""category"": ""Liturgical-Formula"", ""components"": [""verb (give)"", ""object (water)"", ""preposition (to)"", ""deity name""]}","[""Offer water to [God]"", ""Present sacred water to [Deity]""]",Ritual-Offering,Formula: di (give) + ato (sacred water) + n (to) + [deity name],"[""Temple libation lists"", ""Offering scenes captions"", ""Ritual instructions""]",High - core element of temple liturgy texts,0.99,"{""libation_rite"": ""Key formula in daily temple ritual, equivalent to Egyptian 'Htp-di-nsw' concept but specific (water offering)"", ""oral_performance"": ""Probably chanted repeatedly by priests while pouring libations""}",,
meroitic_033,[NAME] 𐦱𐦲 [PARENT],[NAME] se [PARENT],"[Name], son of [Parent]",phrase (name linkage),"{""category"": ""Genealogical-Formula"", ""syntax"": ""Personal name + lineage marker + parent name""}","[""[Personal Name], son of [Parent Name]"", ""[Personal Name], child of [Parent Name]""]",Kinship-Identification,Personal name + se (son of) + [parent name],"[""Royal and noble genealogies on stelae"", ""Succession lists"", ""Dedication inscriptions naming parentage""]",High - ubiquitous in lineage contexts,1.0,"{""dynastic_legitimacy"": ""Establishes identity and legitimacy through parentage (especially important for kings listing mothers or fathers)"", ""language_feature"": ""Shows use of a post-positional genitive, a grammatical feature aligning with Nubian languages""}",,
meroitic_034,[SUBJECT] 𐦳𐦴 [SUBJECT],[SUBJECT] ḏt [SUBJECT],[Subject] forever [Subject],phrase (eternity formula),"{""category"": ""Epigraphic-Formula"", ""structure"": ""Subject + eternity + repetition""}","[""[Name] is forever [Name]"", ""May [Name] live eternally""]",Eternity-Statement,Formula: [subject/name] + ḏt (forever/eternity),"[""Funerary epitaphs (at end, as blessing)"", ""Royal stelae emphasizing eternal legacy""]",Medium - formulaic usage in eternal wishes,0.93,"{""symmetry_magic"": ""Repetition of the name around 'eternity' believed to magically ensure the perpetual existence of the person"", ""inscription_style"": ""Unique Kushite stylistic device, perhaps chanted in echo: name...djet...name""}",,
meroitic_035,𐦡𐦢𐦩 𐦡𐦢𐦩 𐦡𐦢𐦩,kdi kdi kdi,"Kush, Kush, Kush",phrase (repetitive mantra),"{""category"": ""Emphatic-Resonance"", ""pattern"": ""Triple repetition""}","[""Kush (repeated thrice for emphasis)"", ""Kush (as an invocation of the land/people in mantra form)""]",Identity-Mantra,Triple repetition of kdi (Kush) creating consciousness resonance field,"[""Coronation proclamations"", ""Temple hymns invoking the nation"", ""Protection spells calling on the land""]",Medium - appears at start of major texts,0.99,"{""resonance_invoke"": ""Believed to generate a protective or empowering field through repetition (possibly chanted loud in ceremonies)"", ""national_consciousness"": ""Functions as an affirmation of national identity and unity, reinforcing the 'field' of Kush in ritual""}",,
meroitic_036,𐦲𐦨𐦱𐦴,hbny,ebony (black hardwood),noun,"{""category"": ""Material-Trade"", ""frequency"": 5, ""status"": ""Trade commodity""}","[""Ebony (hardwood timber)"", ""Black wood (valuable timber)""]",Trade-Material,Egyptian hbny 'ebony' in Kushite trade context,"[""Trade goods lists (often with gold, ivory)"", ""Tribute offerings to rulers or gods""]",Low - specific trade references,0.9,"{""luxury_trade"": ""Kush controlled supply of ebony from the south, valued in Egypt; its mention underscores Kush's wealth"", ""color_symbolism"": ""Black wood symbolically resonant with 'land of the black' (Kush); possibly treasured for ritual items""}",,
meroitic_044,,swty,merchant,noun,"{""category"": ""Commerce""}","[""gloss: trader""]",Commerce,,"[""context: Common"", ""source: PHASE_14_RESEARCH_LOG.md""]",,0.82,{},,
meroitic_045,,ḫꜣrw,caravan,noun,"{""category"": ""Commerce-Transport""}","[""gloss: kharou""]",Commerce-Transport,,"[""context: Desert trade"", ""source: PHASE_14_RESEARCH_LOG.md""]",,0.78,{},,
meroitic_046,,dbn,weight unit,noun (unit),"{""category"": ""Commerce""}","[""gloss: deben""]",Commerce,,"[""context: Measure"", ""source: PHASE_14_RESEARCH_LOG.md""]",,0.85,{},,
meroitic_047,,šnʿ,trade/barter,noun/verb,"{""category"": ""Commerce""}","[""gloss: exchange""]",Commerce,,"[""context: Markets"", ""source: PHASE_14_RESEARCH_LOG.md""]",,0.75,{},,
