ID,Lemma,Primary_gloss,Definition,Status,Conf,Field,REM_refs
meroitic_087,ḥwi,threshing sledge,threshing sledge/flail (grain threshing tool),LOCKED,0.86,Agriculture & Water Control,
meroitic_088,ꜣḫt,inundation season,AKHET: inundation season,STABLE,0.8,Calendar & Seasons,
meroitic_089,prt,growing,PERET: growing / emergence season,STABLE,0.8,Calendar & Seasons,
meroitic_090,šmw,harvest,SHEMU: harvest / drought season,STABLE,0.8,Calendar & Seasons,
meroitic_091,mḥ-7,7 cubits,7 cubits (~3.7 m),STABLE,0.75,Measurement & Administration,
meroitic_092,mḥ-12,12 cubits,12 cubits (~6.3 m),STABLE,0.75,Measurement & Administration,
meroitic_093,mḥ-16,16 cubits,16 cubits (~8.4 m),STABLE,0.75,Measurement & Administration,
meroitic_094,mḥ-18,18 cubits,18 cubits (~9.5 m),STABLE,0.75,Measurement & Administration,
meroitic_095,ꜣrby-swarm,locust-swarm,**Locust plague**: ꜣrby-swarm (“locust-swarm”),STABLE,0.7,Environmental & Crisis Vocabulary,
meroitic_096,dšrt-ḥz,desert-rage,**Sandstorm**: dšrt-ḥz (“desert-rage”),STABLE,0.7,Environmental & Crisis Vocabulary,
meroitic_097,tꜣ-ḫnm,earth-shake,**Earthquake**: tꜣ-ḫnm (“earth-shake”),STABLE,0.7,Environmental & Crisis Vocabulary,
meroitic_098,mwt-spd,death-spread,**Epidemic**: mwt-spd (“death-spread”),STABLE,0.7,Environmental & Crisis Vocabulary,
meroitic_099,mw-ꜥz,water-rebellion,**Flood disaster**: mw-ꜥz (“water-rebellion”),STABLE,0.7,Environmental & Crisis Vocabulary,
meroitic_100,abr,man (male person),man,PROVISIONAL,0.68,People & Captives,REM 1044
meroitic_101,areme,Rome,Rome (foreign toponym/state name),STABLE,0.8,Toponym-Foreign,
meroitic_102,li,and (linker,"and (joins titles, names, clauses)",STABLE,0.7,Grammar-Connective,
meroitic_103,wl,prince,prince,PROVISIONAL,0.58,Titles-Governance,
meroitic_104,pqr,crown prince,crown prince,PROVISIONAL,0.56,Titles-Succession,
meroitic_105,mds,descendant,descendant,LOCKED,0.75,Genealogy-Kinship,
meroitic_106,ariten,Ariten(e) (divine,Ariten / Aritene (name),PROVISIONAL,0.6,Divine-Ancestral,
meroitic_107,wide,kin-term (often glossed 'brother',kin-term (wide),PROVISIONAL,0.55,Kinship-Relations,REM 1044
meroitic_108,n,to,to,STABLE,0.7,Grammar-Preposition,
meroitic_109,nṯr,god,god / divine being (generic); often in loan/ritual formulae,LOCKED,0.85,Religion / Divinity,
meroitic_110,se-l,each,each / every (distributive marker); attaches to person-class nouns,STABLE,0.7,Grammar / Quantification,REM 1044
meroitic_111,e-ked,(I) killed,(I) killed / struck down (prefixed verbal form),STABLE,0.75,Action / Warfare,REM 1044
meroitic_112,ked,kill,"kill / strike down (verbal root, provisional)",PROVISIONAL,0.65,Action / Warfare,REM 1044
meroitic_113,e-er-k,(I) took,(I) took / seized / carried off (prefixed verbal form),STABLE,0.7,Action / Capture,REM 1044
meroitic_114,er-k,take,"take / seize (root+suffix composite, provisional)",PROVISIONAL,0.6,Action / Capture,REM 1044
meroitic_115,abr-se-l,each man (formulaic distributive NP),each man (formulaic distributive NP),PROVISIONAL,0.6,People / Grammar,REM 1044
meroitic_116,kdi-se-l,each woman,each woman / female class (formulaic distributive NP) — provisional,PROVISIONAL,0.5,People / Grammar,REM 1044
meroitic_117,apote,envoy,Envoy / messenger (diplomatic rank),PROVISIONAL,0.72,Diplomacy-Rank,
meroitic_118,qo,this,This / these (deictic particle; caption/pointing marker),PROVISIONAL,0.7,Grammar-Demonstrative,
meroitic_119,-li,to,To / toward (allative marker; attaches to toponyms),PROVISIONAL,0.75,Grammar-Case,
meroitic_120,rmn,Romans,Romans (ethnonym abbreviation; tentative),PROVISIONAL,0.55,Identity-Foreign,
