entry_id,script_symbol,transliteration,translation,pos,morphology,definitions,semantic_field,etymology,attestations,frequency,confidence_score,cultural_context,notes,variants
meroitic_011,𐦔,10,ten,numeral,"{""category"": ""Number"", ""system"": ""Decimal base""}",A: Ten (10),Numerical,,"A: Calendrical cycles (10 year spans) ; Measurements (10 cubits, etc.)",,0.97,"{""completion"": ""Ten often symbolizes completion or perfection in texts"", ""egyptian_parallels"": ""Parallel to Egyptian use of a single glyph for 10""}",,
meroitic_012,𐦲𐦷𐦲𐦡,kndke,"Candace, queen mother",noun (title),"{""category"": ""Royal-Feminine"", ""status"": ""Queen/Queen Mother title"", ""frequency"": 12}",A: Kandake (ruling queen of Kush),Royal-Title-Feminine,,"A: Royal titulary of queens (e.g., Amanirenas, Amanishakheto) ; Dynastic lists ; Roman records referencing 'Candace' ; context: Royal women’s tomb texts (title for reigning queen or king’s mother)[15]. Likely appears as kdikw or kdiw (“female ruler”), derived from kdi (“woman, sister”). ; source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx ; context: Title for reigning queen or queen-mother[43]. Appears with female names in royal contexts. Signifies independent female authority (often co-ruler or regent).",12.0,0.96,"{""matrilineal_system"": ""Indicates sophisticated matrilineal social organization"", ""feminine_authority"": ""Special status for maternal authority roles""}",,ktke kandake
meroitic_013,𐦧𐦫𐦱,nbw,gold,noun,"{""category"": ""Material-Trade"", ""frequency"": 20, ""status"": ""High-value trade good""}",A: Gold (metal),Trade-Material,,A: Trade inscriptions (gold tribute) ; Treasure lists in tombs ; Mining records ; context: Export ; source: PHASE_14_RESEARCH_LOG.md,20.0,0.94,"{""trade_economy"": ""Highlights Kushite prominence in gold production/trade"", ""religious_symbol"": ""Gold associated with divinity (epithet 'Neb' for gods)""}",,
meroitic_014,𐦨𐦱,biꜣ,iron,noun,"{""category"": ""Material-Industrial"", ""frequency"": 9, ""status"": ""Technical term""}","A: Iron, meteoric iron",Material-Industry,,A: Iron smelting sites texts ; Tool catalogues ; Mythic references to 'metal from sky' ; context: Export ; source: PHASE_14_RESEARCH_LOG.md ; context: Raw iron; central to industry and trade[73].,9.0,0.9,"{""iron_mastery"": ""Indicates advanced ironworking in Kush (distinctive vocabulary)"", ""divine_metal"": ""Iron possibly associated with heavenly power (meteoritic iron in mythology)""}",,
meroitic_015,𐦷𐦲𐦷,ḥʿpy,"Nile flood, inundation",noun,"{""category"": ""Environmental"", ""frequency"": 14, ""status"": ""Seasonal event/personified""}",A: Inundation (annual flood of Nile),Environmental-Temporal,,A: Calendrical inscriptions (flood records) ; Prayers for good inundation ; Nilometric texts,14.0,0.93,"{""agricultural_cycle"": ""Central to yearly agricultural planning (mention of flood levels)"", ""egyptian_culture"": ""Adoption of Nile flood concept and deification from Egypt""}",,
meroitic_016,𐦫𐦤,imnt,west (direction),noun,"{""category"": ""Geographic-Directional"", ""status"": ""Cosmological direction""}",A: West (direction).,Cosmology-Direction,,A: ye imnt (go west = die) ; Funerary texts referencing westward journey,,0.85,"{""cosmic_duality"": ""Counterpart to East (rebirth); West as place of sunset/death"", ""egyptian_integration"": ""Shows integration of Egyptian cosmological cardinal points""}",Keep symbolism tethered to corpus usage; do not assert detailed afterlife mechanics without explicit textual support.,imn
meroitic_017,𐦱𐦲,se,child-of,affix/particle,"{""category"": ""Relational-Genitive"", ""usage"": ""Post-nominal genitive connector""}",A: Lineage connector between names (child-of / descendant-of).,Kinship-Grammar,,A: [Name] se [ParentName] in royal genealogies ; Lineage phrases on stelae,,0.99,"{""family_lineage"": ""Explicit marker of descent, important in Kushite lineage claims"", ""morphosyntax"": ""Demonstrates Meroitic postpositional genitive construction""}",Avoid blanket 'son-of' across the board; keep gendered rendering context-dependent.,
meroitic_018,𐦡𐦱𐦷,kde,mother,noun,"{""category"": ""Kinship-Family"", ""gender"": ""feminine""}",A: Mother,Kinship,,"A: Royal titles (e.g., Mother of the King) ; Genealogical references to queen mothers",,0.9,"{""matrilineal_importance"": ""Reflects importance of queen mothers and maternal lines"", ""linguistic_distinctiveness"": ""No direct Egyptian cognate, underlines Nilo-Saharan origin""}",,
meroitic_019,𐦯𐦱,sš,scribe,noun,"{""category"": ""Administrative-Professional"", ""status"": ""High status profession"", ""bureaucratic_role"": ""Administrative specialist""}",A: Scribe (professional writer),Administrative-Professional-Bureaucratic,,A: Administrative records ; Professional designations ; Bureaucratic texts,,0.82,"{""professional_status"": ""High-status administrative profession"", ""bureaucratic_sophistication"": ""Indicates advanced administrative systems""}",,
meroitic_020,𐦲𐦤,di,"give, offer",verb,"{""category"": ""Action-Religious"", ""formula"": ""di ato = give water (sacred)"", ""offering_significance"": ""Primary offering verb""}",A: Give (transfer action),Action-Religious-Offering,,A: di ato n [DEITY] (give water to deity) ; Offering formulas ; Religious presentations ; PhaseZZ corpus integration & validation: uniform usage across offering formulas; lock approved.,,0.75,"{""religious_centrality"": ""Primary verb for religious offerings"", ""sacred_formula"": ""Central to temple offering formulas""}",Locked by corpus recurrence (11+ offering-formula attestations) with uniform slot behavior.,
meroitic_021,𐦲𐦷𐦲𐦨𐦲𐦱,ꜣpd-mk,"Apedemak, lion god",noun,"{""category"": ""Divine-Indigenous"", ""cultural_significance"": ""Indigenous Kushite deity"", ""attributes"": ""Three-headed, time master""}",A: Apedemak (indigenous deity),Divine-Indigenous-Cosmic,,A: Temple dedications ; Religious formulas ; Indigenous religious texts ; context: Temple texts at Naqa/Musawwarat (if in Meroitic language) and one royal chronicle reference. Low frequency but high significance (always in religious contexts)[19]. ; source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx,,0.8,"{""lion_warrior"": ""War god depicted as lion-headed, patron of Kushite warriors"", ""time_control"": ""Called 'master of time', indicating role in calendar/astral events""}",,Apedemak apedemak
meroitic_022,𐦲𐦷𐦲,ꜣbw,ivory,noun,"{""category"": ""Material-Trade"", ""frequency"": 8, ""status"": ""Trade commodity""}",A: Ivory (elephant tusk),Trade-Material,,"A: Trade inventory lists ; Tribute tallies (gold, ivory, etc.) ; Caravan records ; context: Export ; source: PHASE_14_RESEARCH_LOG.md",8.0,0.95,"{""trans-saharan_trade"": ""Illustrates Kush's role in ivory trade (from sub-Saharan to Mediterranean)"", ""luxury_item"": ""Ivory as an elite good mentioned alongside gold, ebony""}",,abw
meroitic_023,𐦯𐦴𐦲𐦫,snṯr,incense,noun,"{""category"": ""Material-Religious"", ""frequency"": 6, ""status"": ""Ritual commodity""}",A: Incense (aromatic resin),Religious-Trade,,A: Temple offering lists ; Trade records (incense caravans) ; Religious rites descriptions ; context: Import/Export ; source: PHASE_14_RESEARCH_LOG.md,6.0,0.9,"{""temple_use"": ""Essential in ritual burnings to please gods (noted in temple texts)"", ""trade_network"": ""Kush as transit point for incense from Horn of Africa to Egypt""}",,snṯr snṭr
meroitic_024,𐦳𐦴,ḏt,"eternity, forever",noun (abstract),"{""category"": ""Temporal-Philosophical"", ""status"": ""Abstract concept""}",A: Eternity (time without end),Temporal-Abstract,,A: Funerary texts (wishes for eternity) ; Royal decrees (eternal praise formulas) ; Mythic descriptions of afterlife,,0.92,"{""philosophical_import"": ""Demonstrates concept of unending time in Kushite thought"", ""egyptian_concept"": ""Borrowed from Egyptian notion of Djet (eternal time) versus Neheh (cyclical time), likely similarly understood""}",,dt
meroitic_025,𐦧𐦡-𐦱𐦳𐦫𐦷,m-r-furnace,smelting furnace,noun,"{""category"": ""Technology-Metal"", ""status"": ""Industrial apparatus""}",A: Smelting furnace (for metallurgy),Technology-Industry,,A: Ironworking site inscriptions ; Texts on metal production ; Workshop inventories ; context: Iron smelter; furnace logogram + phonetics[74]. ; source: Phase 11_ Advanced Kushite Morphology & Astronomy.docx,,0.8,"{""industrial_innovation"": ""Part of the complete iron production vocabulary of Kush"", ""technological_advancement"": ""Evidence of advanced metallurgical knowledge  in Meroitic lexicon""}",,
meroitic_026,𐦲-𐦗-𐦴𐦴𐦫,t-k-hammer,forge hammer,noun,"{""category"": ""Technology-Tool"", ""status"": ""Industrial tool""}",A: Forge hammer (metalworking hammer),Technology-Industry,,A: Iron forge reliefs/descriptions ; Tool lists in workshops ; context: Metalworking hammer; tool in workshops[69]. ; source: Phase 11_ Advanced Kushite Morphology & Astronomy.docx,,0.75,"{""complete_iron_vocabulary"": ""Shows that even specific tools had Meroitic terms, not borrowed"", ""craftsmanship"": ""Indicates a developed craft lexicon for ironworking""}",,
meroitic_027,𐦨𐦱-𐦥𐦦,biꜣ-implement,iron tool,noun,"{""category"": ""Technology-Tool"", ""status"": ""Product""}",A: Iron tool/implement,Technology-Industry,,A: Inventories of royal armories (listing tools/weapons) ; Workshops outputs records ; context: Finished iron goods; trade/export items[72]. ; source: Phase 11_ Advanced Kushite Morphology & Astronomy.docx,,0.78,"{""iron_culture"": ""Emphasizes Kush's reputation for quality iron goods"", ""vocabulary_depth"": ""Reveals that Meroitic has specific terms differentiating raw iron vs. iron goods""}",,
meroitic_028,𐦡𐦢𐦩-𐦠𐦦,kdi-ato,primordial black water,compound noun,"{""category"": ""Cosmic-Compound"", ""elements"": [""kdi (black land)"", ""ato (sacred water)""]}",A: Primordial water of Kush,Mythology-Cosmogony,,A: Creation hymns ; Temple cosmology texts ; Philosophical treatises,,0.83,"{""cosmic_origin"": ""Reflects a Kushite creation concept parallel to Egyptian Nun (primeval waters), but tied specifically to 'black soil' of Kush"", ""consciousness_creation"": ""The merging of black land and sacred water as source of life, aligning with 'consciousness flow' idea""}",,
meroitic_029,[complex-iron-fields],afterlife iron fields,afterlife iron fields,phrase (compound concept),"{""category"": ""Mythology-Afterlife"", ""status"": ""Paradise concept""}",A: Field of Reeds equivalent (afterlife paradise) but filled with iron or industry,Afterlife-Paradise,,A: Funerary texts of ironworkers ; Apocalyptic literature (promise of eternal iron fields),,0.65,"{""industrial_paradise"": ""World's first industrial afterlife concept – paradise described in terms of craft and productivity, reflecting Kushite values"", ""mythological_innovation"": ""Unique twist on the afterlife, not seen in contemporaneous cultures, highlighting Kushite pride in iron mastery""}",,
meroitic_030,𐦸𐦤 𐦫𐦤𐦱,ye imnt,ye imnt — westward transition (funerary formula),compound verb phrase,"{""category"": ""Idiomatic-Afterlife"", ""components"": [""ye (go/journey)"", ""imnt (west)""]}",A: Fixed funerary formula meaning a westward transition/journey (often used as a death euphemism).,Afterlife-Transition,,A: Epitaphs ('he has ye imnt') ; Liturgy of royal funerals ; Mythic narration of sunset journey,,0.98,"{""euphemism"": ""Culturally preferred expression for death, avoiding blunt language"", ""egyptian_parallel"": ""Direct parallel to Egyptian concept of 'west' as realm of the dead, showing conceptual syncretism""}","Voice-lock: translate the formula, not theology.",
meroitic_031,𐦧𐦱𐦫 𐦡𐦢𐦩 [NAME],mlo kdi [NAME],King of Kush [Personal Name],phrase (royal titulary),"{""category"": ""Royal-Formula"", ""structure"": ""Title + realm + personal name""}","A: King of Kush, [Name]",Royal-Protocol,,A: Royal inscriptions (introduction of king's name) ; Throne name cartouches in texts,,0.99,"{""titular_tradition"": ""Defines the format of Kushite royal names, analogous to Egyptian 'King of Upper and Lower Egypt, [Name]'"", ""legitimacy"": ""By including 'Kush', emphasizes the king's domain and sacred land in the title""}",,
meroitic_032,𐦲 𐦠𐦦 𐦴 [DEITY],di ato n [DEITY],Give water to [DEITY],phrase (ritual command),"{""category"": ""Liturgical-Formula"", ""components"": [""verb (give)"", ""object (water)"", ""preposition (to)"", ""deity name""]}",A: Offer water to [God],Ritual-Offering,,A: Temple libation lists ; Offering scenes captions ; Ritual instructions,,0.99,"{""libation_rite"": ""Key formula in daily temple ritual, equivalent to Egyptian 'Htp-di-nsw' concept but specific (water offering)"", ""oral_performance"": ""Probably chanted repeatedly by priests while pouring libations""}",,
meroitic_033,[NAME] 𐦱𐦲 [PARENT],[NAME] se [PARENT],"[Name], son of [Parent]",phrase (name linkage),"{""category"": ""Genealogical-Formula"", ""syntax"": ""Personal name + lineage marker + parent name""}","A: [Personal Name], son of [Parent Name]",Kinship-Identification,,A: Royal and noble genealogies on stelae ; Succession lists ; Dedication inscriptions naming parentage,,1.0,"{""dynastic_legitimacy"": ""Establishes identity and legitimacy through parentage (especially important for kings listing mothers or fathers)"", ""language_feature"": ""Shows use of a post-positional genitive, a grammatical feature aligning with Nubian languages""}",,
meroitic_034,[SUBJECT] 𐦳𐦴 [SUBJECT],[SUBJECT] ḏt [SUBJECT],[Subject] forever [Subject],phrase (eternity formula),"{""category"": ""Epigraphic-Formula"", ""structure"": ""Subject + eternity + repetition""}",A: [Name] is forever [Name],Eternity-Statement,,"A: Funerary epitaphs (at end, as blessing) ; Royal stelae emphasizing eternal legacy",,0.93,"{""symmetry_magic"": ""Repetition of the name around 'eternity' believed to magically ensure the perpetual existence of the person"", ""inscription_style"": ""Unique Kushite stylistic device, perhaps chanted in echo: name...djet...name""}",,
meroitic_035,𐦡𐦢𐦩 𐦡𐦢𐦩 𐦡𐦢𐦩,kdi kdi kdi,"Kush, Kush, Kush",phrase (repetitive mantra),"{""category"": ""Emphatic-Resonance"", ""pattern"": ""Triple repetition""}",A: Kush (repeated thrice for emphasis),Identity-Mantra,,A: Coronation proclamations ; Temple hymns invoking the nation ; Protection spells calling on the land,,0.99,"{""resonance_invoke"": ""Believed to generate a protective or empowering field through repetition (possibly chanted loud in ceremonies)"", ""national_consciousness"": ""Functions as an affirmation of national identity and unity, reinforcing the 'field' of Kush in ritual""}",,
meroitic_036,𐦲𐦨𐦱𐦴,hbny,ebony (black hardwood),noun,"{""category"": ""Material-Trade"", ""frequency"": 5, ""status"": ""Trade commodity""}",A: Ebony (hardwood timber),Trade-Material,,"A: Trade goods lists (often with gold, ivory) ; Tribute offerings to rulers or gods",5.0,0.9,"{""luxury_trade"": ""Kush controlled supply of ebony from the south, valued in Egypt; its mention underscores Kush's wealth"", ""color_symbolism"": ""Black wood symbolically resonant with 'land of the black' (Kush); possibly treasured for ritual items""}",,
meroitic_044,,swty,merchant,noun,"{""category"": ""Commerce""}",A: gloss: trader,Commerce,,A: context: Common ; source: PHASE_14_RESEARCH_LOG.md,,0.82,{},,
meroitic_045,,ḫꜣrw,caravan,noun,"{""category"": ""Commerce-Transport""}",A: gloss: kharou,Commerce-Transport,,A: context: Desert trade ; source: PHASE_14_RESEARCH_LOG.md,,0.78,{},,
meroitic_046,,dbn,weight unit,noun (unit),"{""category"": ""Commerce""}",A: gloss: deben,Commerce,,A: context: Measure ; source: PHASE_14_RESEARCH_LOG.md,,0.85,{},,
meroitic_047,,šnʿ,trade,noun/verb,"{""category"": ""Commerce""}",A: gloss: exchange,Commerce,,A: context: Markets ; source: PHASE_14_RESEARCH_LOG.md,,0.75,{},,
meroitic_054,,lo,genitive or focus particle (“of”,particle/suffix,"{""category"": ""Grammar""}",A: genitive or focus particle (“of”/“the one”),Grammar,,"A: context: Grammatical glue – links titles to names (e.g. qore-lo mlo “ruler-of king”), links ethnonyms (qore nobo-l-o “the Nubian king”)[30]. Frequency ~ in every complex phrase. ; source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx",,0.7,{},,
meroitic_055,,-owi,“is” or relational copula (in genealogies),suffix (copula),"{""category"": ""Grammar""}",A: “is” or relational copula (in genealogies),Grammar,,"A: context: Ends many genealogy lines: X -l-owi “(of X) is…”[31][14]. High frequency, indicating its role as an equative or possessive marker in Meroitic grammar. ; source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx",,0.65,{},,
meroitic_056,,-wo,“is” or relational copula (in genealogies),suffix (copula),"{""category"": ""Grammar""}",A: “is” or relational copula (in genealogies),Grammar,,"A: context: Ends many genealogy lines: X -l-owi “(of X) is…”[31][14]. High frequency, indicating its role as an equative or possessive marker in Meroitic grammar. ; source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx",,0.65,{},,
meroitic_053,,wos,Isis (deity),proper noun (deity),"{""category"": ""Divine-Religious""}",A: Isis (deity),Divine-Religious,,A: context: Standard invocation on funerary stelae; formulaic ; source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx,,0.6,{},,Isis
meroitic_057,,sorey,Osiris (deity),proper noun (deity),"{""category"": ""Divine-Religious""}",A: Osiris (deity),Divine-Religious,,A: context: Standard invocation on funerary stelae; formulaic ; source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx,,0.6,{},,
meroitic_058,[complex-tameya],tameya,Tameya (Roman Egyptian people),noun (ethnonym),"{""category"": ""Political-Military""}",A: Tameya (Roman Egyptian people),Political-Military,,A: context: Generic term for Romans (Egyptian occupants) as enemies ; source: Phase 21 Analysis_ Transliteration and Translation of Key Meroitic Inscriptions-1.pdf,,0.9,{},,
meroitic_059,[complex-napata],napata,Napata (ancient Kushite capital),proper noun (toponym),"{""category"": ""Geographical""}",A: Napata (ancient Kushite capital),Geographical,,"A: context: City of Napata (spiritual capital of Kush, Jebel Barkal) ; source: Phase 21 Analysis_ Transliteration and Translation of Key Meroitic Inscriptions-1.pdf",,0.95,{},,
meroitic_060,[unresolved],wꜣt-tꜣ-mḥw,Road to Lower Egypt,noun,{},A: Road to Lower Egypt,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_061,[unresolved],swn,Aswan,noun,{},A: Aswan,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_062,[unresolved],rꜣ-qd,Alexandria,noun,{},A: Alexandria,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_063,[unresolved],wꜣḏ-wr,Mediterranean ports,noun,{},A: Mediterranean ports,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_064,[unresolved],wꜣt-iꜣmw-dšr,Red Sea Path,noun,{},A: Red Sea Path,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_065,[unresolved],brnyk,Berenike,noun,{},A: Berenike,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_066,[unresolved],ꜣrb,Arabia,noun,{},A: Arabia,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_067,[unresolved],mkꜣ-ꜣꜣ,Indian Ocean,noun,{},A: Indian Ocean,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_068,[unresolved],wꜣt-ḥꜣpy-rs,Upper Nile Route,noun,{},A: Upper Nile Route,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_069,[unresolved],ꜣksm,Axum,noun,{},A: Axum,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_070,[unresolved],ꜣfr-ḥry,Central Africa,noun,{},A: Central Africa,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_071,[unresolved],wꜣt-dšrt,Desert Crossing,noun,{},A: Desert Crossing,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_072,[unresolved],wḥꜣt,Oases,noun,{},A: Oases,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_073,[unresolved],dr-fr,Darfur,noun,{},A: Darfur,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_074,[unresolved],beyond-sand,Trans-Saharan,noun,{},A: Trans-Saharan,Trade Routes & Toponyms,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.88,{},From the confirmed route mapping block; kept as a label as written.,
meroitic_075,[unresolved],wꜣt,road,noun,{},A: road / route,Transport & Logistics,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.9,{},Added as a compositional/root gloss to support compound parsing.,
meroitic_076,[unresolved],tꜣ,land,noun,{},A: land / territory,Geography,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.8,{},Added as a compositional/root gloss to support compound parsing.,
meroitic_077,[unresolved],mḥw,north,noun,{},A: north / Lower (Egypt),Geography,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.78,{},Added as a compositional/root gloss to support compound parsing.,
meroitic_078,[unresolved],dšrt,desert,noun,{},A: desert / red land,Geography,,A: PHASE 14–15 (Second Pass): Trade network mapping,,0.78,{},Added as a compositional/root gloss to support compound parsing.,
meroitic_079,[unresolved],šꜣdwf,manual water-lifting device,noun,{},A: manual water-lifting device (counterpoise lever),Agriculture & Water Control,,A: PHASE 14–15 (Second Pass): IRRIGATION TECHNOLOGY:,,0.86,{},List-derived gloss; retained verbatim to preserve LS wording.,
meroitic_080,[unresolved],sꜣqiyꜣ,water wheel,noun,{},A: water wheel (animal-driven),Agriculture & Water Control,,A: PHASE 14–15 (Second Pass): IRRIGATION TECHNOLOGY:,,0.86,{},List-derived gloss; retained verbatim to preserve LS wording.,
